"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"10 644 results found for (ti=""smart glasses"" OR ti=""smart eyewear"" OR ti=""audio glasses"" OR ti=""hearing glasses"" OR ti=""AR glasses"" OR ti=""augmented reality glasses"" OR ti=""intelligent eyewear"" OR ti=""head mounted display"") AND (txt=""wearable"" OR txt=""augmented reality"" OR txt=""mixed reality"" OR txt=""display"" OR txt=""sensor"" OR txt=""connectivity"" OR txt=""heads-up"" OR txt=""hands-free"" OR txt=""beamforming"") NOT (ti=""contact lens"" OR ti=""VR headset"" OR ti=""virtual reality headset"")";"";"";"";"";"";"";"";"";
"Results 1 to 500 displayed";"";"";"";"";"";"";"";"";
"Query language: en";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"165";"Scenic spot interactive true 3D augmented reality glasses based on head positioning attitude measurement";"AI LINGYU 
CHEN SHIWEI 
WANG YINGHUI";"UNIV JIANGNAN";"CN116009276A";"2023-01-17";"G02B30/27 
G02B30/34 
G06F3/01";"";"2023-04-25";"2023-04-25";"086035473";
"166";"Augmented reality glasses";"LIU MUJUN";"OPPO GUANGDONG MOBILE TELECOMMUNICATIONS CO LTD";"CN211375185U";"2019-11-04";"G02B27/01 
G06F3/01";"";"2020-08-28";"2020-08-28";"072154503";
"167";"Augmented reality glasses";"XU JINGTANG 
WANG LEI 
WANG HUAIYU 
CHENG LIHUI 
GUAN YADONG";"SHANGHAI LONGQI INTELLIGENT TECH CO LTD";"CN118393737A";"2024-04-18";"G02B27/01 
G02F1/133 
G02F1/1343 
G02F1/155 
G02F1/163 
G02F1/167 
G02F1/1676 
G02F1/1685";"G02B27/0172 (CN) 
G02F1/13306 (CN) 
G02F1/134309 (CN) 
G02F1/155 (CN) 
G02F1/163 (CN) 
G02F1/167 (CN) 
G02F1/1676 (CN) 
G02F1/1685 (CN) 
G02B2027/0178 (CN)";"2024-07-26";"2024-07-26";"092006587";
"168";"AUGMENTED REALITY GLASSES, AUGMENTED REALITY GLASSES CONTROL METHOD AND CONTROL PROGRAM";"TSUKAMOTO TAKUMA 
FURUKAWA MASAHIRO 
SUZUOKI MASAHIRO 
HASHIMOTO KAZUTOSHI";"ITOCHU TECHNO SOLUTIONS CORP";"JP2022152222A";"2021-03-29";"G02B27/02 
G06F3/01 
G06F3/0346 
G06F3/038 
G06F3/04815 
G06T19/00 
H04N5/64";"";"2022-10-12";"2022-10-12";"083556016";
"169";"AUGMENTED REALITY GLASSES, AUGMENTED REALITY GLASSES-BASED KTV IMPLEMENTATION METHOD AND MEDIUM";"LAO YI [CN]";"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP LTD [CN]";"WO2021143574A1";"2020-01-16";"G06F3/01";"G02B27/0172 (CN) 
G06F3/011 (CN) 
G06F3/14 (CN) 
G06F3/16 (CN) 
G10H1/361 (CN) 
G11B27/10 (CN) 
G02B2027/0178 (CN)";"2021-07-22";"2020-06-12";"070997467";
"170";"ENVIRONMENTAL-LIGHT FILTER FOR SEE-THROUGH HEAD-MOUNTED DISPLAY DEVICE";"CROCCO ROBERT [US] 
SUGDEN BEN [GB] 
STONE-PEREZ KATHRYN [US]";"CROCCO ROBERT [US] 
SUGDEN BEN [GB] 
STONE-PEREZ KATHRYN [US]";"US2013162505A1 
US8537075B2";"2011-06-22";"G02B27/01 
G09G5/00";"G02B27/0172 (EP,US) 
G02B5/20 (EP,US) 
G02B2027/0112 (EP,US) 
G02B2027/0118 (EP,US) 
G02B2027/0178 (EP,US)";"2013-06-27 
2013-09-17";"2012-12-27";"047361352";
"171";"PERIPHERAL DEVICE FOR HEAD-MOUNTED DISPLAY";"GARCIA CHRISTOPHER MICHAELS [US] 
KAZANSKY LUCAS [US]";"DAQRI LLC [US]";"US10656731B2 
US2018074599A1";"2016-09-15";"G02B27/01 
G06F3/038 
G06F3/0482 
G06F3/0488 
G06F1/16 
G06F3/01 
G06F3/0346 
G06F3/044 
G06T11/60 
G06T19/20";"G02B27/0176 (EP,US) 
G06F1/163 (EP,US) 
G06F3/011 (EP,US) 
G06F3/0346 (EP,US) 
G06F3/038 (US) 
G06F3/0482 (EP,US) 
G06F3/04886 (US) 
G02B2027/0141 (EP,US) 
G02B27/0172 (US) 
G06F2203/0384 (US) 
G06F3/013 (US) 
G06T11/60 (EP,US) 
G06T19/20 (US) 
G06T2219/2016 (US)";"2018-03-15 
2020-05-19";"2018-03-15";"061559836";
"172";"Augmented reality glasses";"LIU MUJUN";"OPPO GUANGDONG MOBILE TELECOMMUNICATIONS CO LTD";"CN110749995A 
CN110749995B";"2019-11-04";"G02B27/01 
G06F3/01";"G02B27/0176 (CN) 
G06F3/011 (CN) 
G02B2027/0178 (CN)";"2020-02-04 
2024-12-31";"2020-02-04";"069281973";
"173";"METHOD FOR TRACKING HEAD MOUNTED DISPLAY DEVICE AND HEAD MOUNTED DISPLAY SYSTEM";"MA YUXIN [US] 
XU YI [US]";"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP LTD [CN]";"US2023098910A1";"2020-06-05";"G02B27/01 
G06F3/01 
G06T7/246 
G06T7/73";"G01C21/20 (EP) 
G02B27/017 (US) 
G06F3/012 (EP,US) 
G06T7/246 (US) 
G06T7/73 (US) 
G02B2027/0138 (US) 
G02B2027/014 (US) 
G02B2027/0187 (EP) 
G06T2207/10028 (US)";"2023-03-30";"2021-12-09";"078831664";
"174";"AUGMENTED REALITY GLASSES";"ZOLIN ALEKSANDR VLADIMIROVICH [RU]";"ZOLIN ALEKSANDR VLADIMIROVICH [RU]";"WO2018132031A1";"2017-01-16";"G02B27/01 
G02C7/02";"G02B27/01 (EP) 
G02C7/02 (EP)";"2018-07-19";"2018-07-19";"062840246";
"175";"Augmented reality glasses and touch control method thereof";"YAN XUHUI";"VIVO MOBILE COMMUNICATION CO LTD";"CN112925413A 
CN112925413B";"2021-02-08";"G02B27/01 
G06F3/01 
G06F3/0354";"G02B27/017 (CN) 
G06F3/011 (CN) 
G06F3/03545 (CN)";"2021-06-08 
2023-06-23";"2021-06-08";"076171231";
"176";"AUTOMATICALLY ADJUSTING HEAD-MOUNTED DISPLAY";"PARKINSON CHRISTOPHER IAIN [US] 
POMBO STEPHEN A [US] 
LUSTIG KENNETH [US]";"REALWEAR INC [US] 
REALWEAR INC";"US10545573B1 
US2020019236A1";"2018-07-13";"G06F3/01 
G06F3/0346 
G10L15/22";"G06F3/012 (EP,US) 
G06F3/013 (EP,US) 
G06F3/0346 (US) 
G10L15/22 (US) 
G10L2015/223 (US)";"2020-01-16 
2020-01-28";"2020-01-16";"069139369";
"177";"Head-mounted display device";"ZHANG TIANBAO 
LI YUXIAO 
TANG XINGCAN";"HUAWEI TECH CO LTD";"CN223857502U";"2024-05-31";"G01R29/08 
G01S13/88 
G02B27/01";"";"2026-01-30";"2026-01-30";"098551804";
"178";"AR GLASSES APPARATUS HAVING A IPD ADJUSTMENT USING VOICE RECOGNITION AND IPD ADJUSTMENT METHOD USING VOICE RECOGNITION FOR AR GLASSES APPARATUS";"CHIWON CHOI 
DONG HO HAM";"P&C SOLUTION [KR]";"KR102796930B1 
KR20230130481A";"2022-03-03";"G06F1/16 
G06F3/01 
G06F3/16";"G06F1/163 (KR) 
G06F3/012 (KR) 
G06F3/167 (KR)";"2023-09-12 
2025-04-18";"2023-09-12";"088020088";
"179";"Interactive augmented reality glasses integrating real-time positioning and voice recognition";"ZHOU LING 
CHEN QIANG 
YANG JIAO 
SUN HAIJING 
ZHU JUNTAO";"UNIV SHANGHAI ENG SCIENCE";"CN209962019U";"2019-06-21";"G02B27/01";"";"2020-01-17";"2020-01-17";"069248134";
"180";"Methods and systems for calibrating augmented reality glasses in vehicle, and augmented reality glasses";"HAAR ADRIAN 
TUMLER JOHANNES";"VOLKSWAGEN AG";"CN110031975A 
CN110031975B";"2017-12-12";"B60R16/02 
G02B27/01";"B60R16/02 (CN) 
G02B27/017 (EP,US) 
G02B27/0172 (CN,US) 
G06V20/20 (EP,US) 
G06V20/59 (EP,US) 
G09G5/37 (US) 
G02B2027/0138 (EP,CN,US) 
G02B2027/014 (EP,CN,US) 
G02B2027/0178 (EP,CN,US) 
G09G2320/0693 (EP) 
G09G2360/144 (EP) 
G09G2380/10 (EP,US)";"2019-07-19 
2022-03-08";"2019-06-13";"066629332";
"181";"ELECTRONIC COMMERCE USING AUGMENTED REALITY GLASSES AND A SMART WATCH";"BOSTICK JAMES E [US] 
GANCI JR JOHN M [US] 
RAKSHIT SARBAJIT K [IN] 
TRIM CRAIG M [US]";"IBM [US]";"US2016070439A1";"2014-09-04";"G06F3/01 
G06F3/0484 
G06F3/16 
G06Q30/06 
G06T19/00";"G02B27/017 (EP,US) 
G06F3/013 (EP,US) 
G06F3/017 (EP,US) 
G06F3/0304 (EP,US) 
G06F3/04842 (EP,US) 
G06Q30/0641 (EP,US) 
G02B2027/0187 (EP,US) 
G06K7/10891 (EP,US)";"2016-03-10";"2016-03-10";"055437527";
"182";"AR augmented reality glasses";"LI JIANYI 
IAN ROY SHU";"PACIFIC FUTURE LTD";"CN207650484U";"2017-12-25";"G02B27/01";"";"2018-07-24";"2018-07-24";"062878755";
"183";"IMU A HEAD MOUNTED DISPLAY APPARATUS HAVING AN EMERGENCY NAVIGATING FUNCTION WITH IMU";"CHIWON CHOI 
YOUNGHEON BAE 
HEEJAE CHEONG";"P&C SOLUTION [KR]";"KR102212336B1 
KR20210011665A";"2019-07-23";"G02B27/01 
G06T19/00 
H04N13/344";"G02B27/0172 (KR) 
G06T19/006 (KR) 
H04N13/344 (KR) 
G02B2027/014 (KR)";"2021-02-02 
2021-02-05";"2021-02-02";"074558758";
"184";"System for and Method of Converting Spoken Words and Audio Cues into Spatially Accurate Caption Text for Augmented Reality Glasses";"GOLDSTEIN BARRY [US] 
KIET QUYEN TANG [US]";"SPECTRUM ACCOUNTABLE CARE COMPANY [US]";"US2021174823A1";"2019-12-10";"G06T11/60 
G09G5/02 
G09G5/32 
G10L15/183 
G10L15/22 
G10L21/0232 
G10L21/10 
G10L25/84 
H04R1/40 
H04R3/00";"G06T11/60 (EP,US) 
G09G5/02 (US) 
G09G5/32 (US) 
G10L15/183 (US) 
G10L15/22 (US) 
G10L21/0232 (US) 
G10L21/10 (US) 
G10L25/84 (US) 
H04R1/406 (EP,US) 
H04R25/407 (EP) 
H04R3/005 (EP,US) 
H04S7/40 (EP) 
G06F3/147 (EP) 
G09G2354/00 (EP,US) 
G10L15/26 (EP) 
G10L2021/065 (US) 
H04R2201/401 (US)";"2021-06-10";"2021-06-10";"076210238";
"185";"Automatic Text Scrolling On A Head-Mounted Display";"VAUGHT BENJAMIN I [US] 
KIPMAN ALEX ABEN-ATHAR [US] 
CROCCO ROBERT [US]";"VAUGHT BENJAMIN I [US] 
KIPMAN ALEX ABEN-ATHAR [US] 
CROCCO ROBERT [US] 
MICROSOFT CORP [US]";"US2013021373A1 
US8767014B2";"2011-07-22";"G09G5/00";"G02B27/017 (EP,US) 
G06F3/011 (US) 
G06F3/013 (US) 
G02B2027/0178 (EP,US) 
G02B2027/0187 (EP,US) 
G09G2320/0261 (EP,US) 
G09G2380/02 (EP,US)";"2013-01-24 
2014-07-01";"2011-12-22";"045442679";
"186";"Optical module for wearable smart glasses with function of augment reality";"SU BO 
WANG YOUCHU";"SHENZHEN AUGMENTED REALITY TECH CO LTD";"CN106773068A";"2017-03-24";"G02B27/01";"G02B27/0172 (CN) 
G02B2027/0178 (CN)";"2017-05-31";"2017-05-31";"058967643";
"187";"A lens holder for mixed reality head mounted display";"ZHANG XIANG 
ZHAO XIAOLI 
ZHANG JIAQI";"UNIV SHANGHAI ENG SCIENCE";"CN211478766U";"2018-12-29";"G02B27/01";"";"2020-09-11";"2020-09-11";"072358624";
"188";"WEARABLE AUGMENTED REALITY HEAD MOUNTED DISPLAY DEVICE FOR PHONE CONTENT DISPLAY AND HEALTH MONITORING";"RAVINDRAN SOURABH [US] 
SHEIKH HAMID R [US] 
POLLEY MICHAEL [US] 
YOO YOUNGJUN [US]";"SAMSUNG ELECTRONICS CO LTD [KR]";"US11048325B2 
US2019011978A1";"2017-07-10";"G06F3/01 
G06F3/147 
H04N5/225 
G06F1/16 
G06F3/03";"G02B27/01 (EP) 
G02B27/017 (EP,KR) 
G06F1/163 (EP,US) 
G06F1/1686 (EP,US) 
G06F3/011 (EP,US) 
G06F3/012 (EP) 
G06F3/013 (KR) 
G06F3/015 (KR) 
G06F3/017 (EP) 
G06F3/0304 (EP,US) 
G06F3/0482 (EP) 
G06F3/147 (EP,US) 
G06T15/20 (EP) 
G06T19/006 (EP,KR) 
G02B2027/0138 (EP) 
G02B2027/014 (EP) 
G02B2027/0187 (EP) 
G09G2320/0261 (EP,US) 
G09G2320/028 (EP,US) 
G09G2340/0464 (EP,US) 
G09G2370/022 (US) 
G09G2370/027 (US) 
G09G2370/04 (US)";"2019-01-10 
2021-06-29";"2019-01-10";"064903192";
"189";"Augmented reality glasses";"QIU YUJIA 
WANG JIYUAN";"BEIJING JIASHI WEITU TECH CO LTD";"CN221551008U";"2023-12-27";"G02B27/01";"";"2024-08-16";"2024-08-16";"092226254";
"190";"Augmented reality glasses";"QIU HUANGBIN 
YANG JIAYUAN 
ZHENG CHAO 
KONG XIN 
LIU CHENNING 
ZHENG XIN 
ZHOU CHANG 
ZHANG YANG 
ZHANG DONG 
GONG MIN 
REN XINYU 
WANG JINING 
GAO FENG 
LI BAOYU 
SHI JIAO 
CHEN SIYUAN 
CHEN WENRUI 
MA ZHIXIN 
TENG DI";"CN ACADEMY LAUNCH VEHICLE TECH";"CN112348964A 
CN112348964B";"2020-10-11";"G06Q30/06 
G02B27/01 
G06T19/00 
G06Q30/0601";"G02B27/017 (CN) 
G06Q30/0643 (CN) 
G06T19/006 (CN) 
G02B2027/0178 (CN)";"2021-02-09 
2024-06-04";"2021-02-09";"074361696";
"191";"Waveguide construction for improved field of view (FOV) in head mounted display (HMD)";"WHEELWRIGHT BRIAN 
GENG YING 
XU MIAOMIAO";"YUANPINGTAI TECHNOLOGY CO LTD";"CN117242390A";"2022-03-31";"G02B27/00";"";"2023-12-15";"2023-12-15";"089098913";
"192";"Mobile phone APP-based scenic area tour guide system of augmented reality glasses";"XUE DAN 
LIU FANG 
LIU YANG 
SHI HAN 
CHEN YANWEN";"UNIV SHENYANG TECHNOLOGY";"CN106357924A 
CN106357924B";"2016-10-31";"H04W4/02 
G06F3/01 
G06Q50/14 
H04M1/725 
H04W4/024 
H04W4/029";"G06F3/011 (CN) 
G06Q50/14 (CN) 
H04M1/72406 (CN) 
H04W4/025 (CN)";"2017-01-25 
2019-10-29";"2017-01-25";"057865293";
"193";"Augmented reality glasses for synchronizing virtual image";"IM CHAE YEOL [KR]";"KAY VISION INC [KR]";"KR102031870B1 
KR20190025141A";"2017-08-30";"G02B27/01 
G06T19/00 
H04N13/00 
H04N13/30";"G02B27/017 (KR) 
G06T19/006 (KR) 
H04N13/167 (KR) 
H04N13/332 (KR) 
H04N13/398 (KR) 
G02B2027/0138 (KR) 
G02B2027/014 (KR) 
H04N2013/0096 (KR)";"2019-03-11 
2019-10-16";"2019-03-11";"065758462";
"194";"AUGMENTED REALITY DISPLAY DEVICE AND PAIR OF AUGMENTED REALITY GLASSES";"GUO YUJIAO [CN] 
WANG WEI [CN] 
XUE GAOLEI [CN] 
MENG XIANQIN [CN] 
MENG XIANDONG [CN] 
LIANG PENGXIA [CN] 
WANG FANGZHOU [CN] 
LING QIUYU [CN] 
YAN MENG [CN] 
LIU PEILIN [CN] 
TIAN YISHAN [CN] 
CHEN XIAOCHUAN [CN]";"BOE TECHNOLOGY GROUP CO LTD [CN]";"US11353706B2 
US2021364799A1";"2019-02-26";"G02B27/01 
G02B27/10 
G06T19/00";"G02B1/007 (EP) 
G02B27/0101 (US) 
G02B27/0172 (EP,US) 
G02B27/1013 (EP,US) 
G06T19/006 (US) 
G02B2027/011 (US) 
G02B2027/0112 (EP,US) 
G02B2027/0174 (US) 
G02B3/00 (EP)";"2021-11-25 
2022-06-07";"2019-05-03";"066263954";
"195";"Augmented reality glasses";"DU PENG";"OPPO GUANGDONG MOBILE TELECOMMUNICATIONS CO LTD";"CN111427153A";"2020-03-31";"G02B27/01 
G02B5/20 
G02B6/00";"G02B27/0172 (CN) 
G02B5/20 (CN) 
G02B6/005 (CN) 
G02B2027/0178 (CN)";"2020-07-17";"2020-07-17";"071556174";
"196";"AR glasses";"SU BO 
WANG YOUCHU";"SHENZHEN AUGMENTED REALITY TECH CO LTD";"CN206818978U";"2017-05-10";"G02B27/01";"";"2017-12-29";"2017-12-29";"060755445";
"197";"DIFFRACTIVE OPTICAL WAVEGUIDE, AUGMENTED REALITY GLASSES, AND AUGMENTED REALITY DISPLAY DEVICE";"YANG HANNING [CN]";"HONOR DEVICE CO LTD [CN]";"US12510702B2 
US2024369753A1";"2022-02-16";"F21V8/00 
G02B27/01";"G02B27/0081 (EP) 
G02B27/01 (EP) 
G02B27/0172 (EP,CN,US) 
G02B6/0016 (CN,US) 
G02B6/005 (CN,US) 
G02B2027/0125 (EP) 
G02B2027/0174 (EP) 
G02B2027/0178 (EP,CN,US)";"2024-11-07 
2025-12-30";"2023-08-24";"087577456";
"198";"- HEAD-MOUNTED DISPLAY APPARATUS WITH ONE-BUTTON AUTOMATIC SIZE ADJUSTMENT";"CHIWON CHOI 
DONG HO HAM";"P&C SOLUTION [KR]";"KR102578214B1 
KR20230040066A";"2021-09-15";"G02B27/01";"";"2023-03-22 
2023-09-14";"2023-03-22";"086005903";
"199";"COLOR ANALYSIS AND CONTROL USING AN ELECTRONIC MOBILE DEVICE TRANSPARENT DISPLAY SCREEN INTEGRAL WITH THE USE OF AUGMENTED REALITY GLASSES";"KIM-WHITTY SUK K [US]";"SK COMMERCIAL CONSTRUCTION INC [US]";"US10783666B2 
US2019197737A1";"2017-03-20";"G02B27/01 
G06T7/00 
G06T7/40 
G06T7/90";"G02B27/017 (EP,US) 
G02B27/0172 (US) 
G06T7/0002 (US) 
G06T7/40 (US) 
G06T7/90 (US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (EP,US) 
G06T2200/24 (US) 
G06T2207/10012 (US)";"2019-06-27 
2020-09-22";"2019-06-27";"066950507";
"200";"Augmented reality display device and augmented reality glasses";"HUANG JIANFA";"JIANGSU THREDIM PHOTOELECTRIC CO LTD";"CN106324841A 
CN106324841B";"2016-11-24";"G02B27/01";"G02B27/0172 (CN) 
G02B2027/0178 (CN)";"2017-01-11 
2019-05-31";"2017-01-11";"057816808";
"201";"Augmented reality display device and augmented reality glasses";"LUO MINGHUI 
QIAO WEN 
FANG ZONGBAO 
LI LING 
LI RUIBIN 
PU DONGLIN 
CHEN LINSEN";"SVG TECH GROUP CO LTD 
UNIV SOOCHOW";"CN112083568A";"2019-06-13";"G02B27/01";"G02B27/0101 (CN) 
G02B27/0172 (CN) 
G02B2027/0178 (CN)";"2020-12-15";"2020-12-15";"073734522";
"202";"HEAD MOUNTED DISPLAY DEVICE AND CONTROL METHOD THEREOF";"JU YOUNG GU [KR]";"KYUNGPOOK NAT UNIV IND ACAD [KR]";"KR101651535B1 
KR20160066451A";"2014-12-02";"G02B27/02 
G02B27/22";"G02B27/01 (KR) 
G02B27/02 (KR) 
G02B27/022 (KR) 
G02B30/00 (KR) 
Y02T10/84 (KR)";"2016-06-10 
2016-09-05";"2016-06-10";"056190756";
"203";"GROUND AIR TRAFFIC MONITORING UNDER LOW VISIBILITY CONDITIONS USING AUGMENTED REALITY (USING HEAD-MOUNTED DISPLAY)";"METANGE ANANTA GOPAL [IN]";"ROCKWELL COLLINS INC [US]";"US12525131B2 
US2024331550A1";"2023-03-29";"G08G5/00 
G02B27/01 
G06T19/00 
G08G5/22 
G08G5/72";"G02B27/017 (EP,US) 
G06T19/006 (EP,US) 
G08G5/21 (EP) 
G08G5/22 (EP,US) 
G08G5/26 (EP) 
G08G5/723 (EP) 
G08G5/727 (EP,US)";"2024-10-03 
2026-01-13";"2024-10-03";"092897074";
"204";"Augmented reality structure and AR glasses";"WANG XU 
CHEN YIQIAN 
ZHOU ZHIXING 
ZHANG WEIWEI";"SHENZHEN HUINIU TECHNOLOGY CO LTD";"CN114967146A 
CN114967146B";"2022-05-17";"G02B27/01";"G02B27/0172 (CN) 
G02B2027/0178 (CN)";"2022-08-30 
2024-07-23";"2022-08-30";"082983950";
"205";"AR glasses";"SU BO 
WANG YOUCHU";"SHENZHEN AUGMENTED REALITY TECH CO LTD";"CN207232516U";"2017-05-10";"G02B27/01";"";"2018-04-13";"2018-04-13";"061839800";
"206";"BEAM SPLITTER GEOMETRIC OPTICAL SYSTEM AND AUGMENTED REALITY GLASSES APPARATUS WITH THEREOF";"CHIWON CHOI 
HEEJAE CHEONG";"P&C SOLUTION [KR]";"KR102572594B1";"2022-12-30";"G02B27/01 
G02B27/14 
G02B5/10";"";"2023-09-01";"2023-09-01";"087974993";
"207";"METHOD FOR PROVIDING HAND RECOGNITION-BASED VIRTUAL MENU FOR AUGMENTED REALITY GLASSES DEVICE, AND AUGMENTED REALITY GLASSES SYSTEM PROVIDING HAND RECOGNITION-BASED VIRTUAL MENU";"CHOI CHIWON [KR] 
JO SEONG DONG [KR] 
KIM JEONG HWAN [KR] 
BACK JEE YEOP [KR] 
MIN KYOUNG JIN [KR]";"P&C SOLUTION [KR]";"WO2023096038A1";"2021-11-29";"G02B27/01 
G06F3/01 
G06F3/0482 
G06T19/00";"G02B27/01 (EP) 
G02B27/017 (KR) 
G06F3/01 (EP) 
G06F3/017 (KR) 
G06F3/0482 (EP,KR) 
G06T19/00 (EP) 
G06T19/006 (KR) 
G02B2027/0178 (KR) 
G02B2027/0187 (KR)";"2023-06-01";"2023-06-01";"086539968";
"208";"Head mounted display device for displaying augmented reality image capture guide and control method for the same";"CHO EUNHYUNG [KR]";"LG ELECTRONICS INC [KR]";"US8847850B1";"2014-02-17";"G02B27/01 
G09G5/00";"G02B27/017 (EP,US) 
G06F3/013 (EP,US) 
G02B2027/0138 (EP,US) 
G02B2027/0141 (EP,US)";"2014-09-30";"2014-09-30";"051588180";
"209";"AUGMENTED REALITY GLASSES";"YANG JIANMING [CN]";"YANG JIANMING [CN]";"WO2020034837A1";"2018-08-17";"G02B27/01";"G02B27/017 (CN) 
G02B27/0172 (CN) 
G02B27/0176 (CN) 
G02B2027/0178 (CN)";"2020-02-20";"2018-11-06";"063966205";
"210";"Slab waveguide augmented reality glasses";"YANG JUN 
ZHANG JINGJING";"SHANGHAI NOVA-OPTICS TECH CO LTD";"CN105572876A";"2015-12-18";"G02B27/01";"G02B27/0172 (CN) 
G02B2027/0123 (CN) 
G02B2027/0178 (CN)";"2016-05-11";"2016-05-11";"055883189";
"211";"Augmented reality glasses assembly starting method, glasses assembly and storage medium";"SUN LINGYAN 
ZHU ZHAOGEN";"SHENZHEN ALL VISION TECH CO LTD";"CN113791686A";"2021-08-18";"G06F3/01 
G06F3/0484 
G06F3/14 
G06F9/445";"G06F3/017 (CN) 
G06F3/0484 (CN) 
G06F3/14 (CN) 
G06F9/44505 (CN)";"2021-12-14";"2021-12-14";"079182063";
"212";"THE HEAD MOUNTED DISPLAY APPARATUS AND METHOD FOR POSSIBLE IMPLEMENTATION OF AUGMENTED REALITY OR MIXED REALITY";"KIM SHI HO [KR] 
PARK HYUN BIN [KR] 
CHA JAE KWANG [KR]";"UNIV YONSEI IACF [KR]";"KR101852680B1 
KR20180014567A";"2016-08-01";"G02B27/01 
G02B27/14 
G02B3/00 
G06T19/00";"G02B27/0101 (KR) 
G02B27/149 (KR) 
G02B3/0087 (KR) 
G06T19/006 (KR) 
G02B2003/0093 (KR) 
G02B2027/0127 (KR) 
G02B2027/0138 (KR)";"2018-02-09 
2018-04-26";"2018-02-09";"061198957";
"213";"HEAD-MOUNTED DISPLAY APPARATUS THAT ADJUSTS THE INTER-PUPILLARY DISTANCE BY MOVING THE BINOCULAR LENSES SIMULTANEOUSLY WITH ROTARY DAMPER";"CHIWON CHOI 
DONG HO HAM";"P&C SOLUTION [KR]";"KR102606863B1 
KR20230005443A";"2021-07-01";"F16H19/04 
G02B27/01";"F16H19/04 (KR) 
G02B27/0172 (KR) 
G02B27/0176 (KR) 
G02B2027/0178 (KR)";"2023-01-10 
2023-11-29";"2023-01-10";"084893438";
"214";"REDUCING HEAD MOUNTED DISPLAY POWER CONSUMPTION AND HEAT GENERATION THROUGH PREDICTIVE RENDERING OF CONTENT";"TERRANO MARK [US] 
ERKELENS IAN [US] 
MACKENZIE KEVIN JAMES [US]";"FACEBOOK INC [US]";"US10901502B2 
US2020409457A1";"2019-06-27";"G02B27/01 
G06F3/01 
G06F3/0481 
G06T19/00 
G06N20/00";"G02B27/017 (EP,US) 
G06F3/012 (EP) 
G06F3/013 (EP,US) 
G06F3/04812 (US) 
G06N3/0442 (EP) 
G06N3/0464 (EP) 
G06N3/09 (EP) 
G06T19/006 (US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (EP,US) 
G06N20/00 (US) 
G06N20/10 (EP) 
G06N3/044 (EP) 
G06N3/045 (EP) 
G06N5/01 (EP) 
G06N5/025 (EP) 
G06N7/01 (EP)";"2020-12-31 
2021-01-26";"2020-12-31";"074043070";
"215";"HEAD-MOUNTED DISPLAY";"YU LEE HUA [TW] 
HUANG PEI HSIN [TW] 
JEN TSU-YIN [TW]";"WISTRON CORP [TW]";"US11287660B2 
US2020225493A1";"2019-01-15";"G02B27/01";"G02B27/017 (EP,CN) 
G02B27/0176 (CN,US) 
G02B27/0179 (US) 
G02B2027/0154 (EP,US) 
G02B2027/0178 (CN,US) 
G02B2027/0187 (EP,US)";"2020-07-16 
2022-03-29";"2020-07-16";"071517553";
"216";"HEAD-MOUNTED DISPLAY SYSTEMS WITH POWER SAVING FUNCTIONALITY";"RIVERA CINTRON CARLOS A [US] 
LINK GREGORY [US] 
SOMMERS JEFFREY SCOTT [US] 
HULL MATTHEW THOMAS [US] 
RODRIGUEZ JOSE FELIX [US] 
MARTINEZ PEREZ RICARDO [US]";"MAGIC LEAP INC [US]";"US12591135B2 
US2025076643A1";"2018-06-18";"G02B27/00 
G02B27/01 
G06F1/3218 
G06F1/3231 
G06F1/3234";"G02B27/0093 (EP,US) 
G02B27/01 (EP) 
G02B27/017 (EP,US) 
G06F1/163 (EP) 
G06F1/3218 (US) 
G06F1/3231 (EP,US) 
G06F1/3265 (US) 
Y02D10/00 (EP)";"2025-03-06 
2026-03-31";"2019-12-26";"068984350";
"217";"AUGMENTED LEARNING SYSTEM FOR TAI-CHI CHUAN WITH HEAD-MOUNTED DISPLAY";"HUNG YI-PING [TW] 
HAN PING-HSUAN [TW]";"UNIV NAT TAIWAN [TW]";"US10864423B2 
US2018126241A1";"2016-11-10";"A63B71/06 
A63B69/00 
G06F3/01 
G06F3/16 
G09B19/00 
G09B5/02 
A63B71/06";"G06F3/011 (EP,US) 
G06F3/017 (US) 
G06F3/16 (US) 
G09B19/0038 (EP,US) 
G09B5/02 (EP,US) 
A63B2071/0638 (US) 
A63B2071/0647 (US) 
A63B2071/0666 (US) 
A63B2220/803 (US) 
A63B2220/836 (US) 
A63B2225/50 (US) 
A63B2244/10 (EP,US) 
A63B71/0622 (US) 
B64U2101/30 (EP,US)";"2018-05-10 
2020-12-15";"2018-05-10";"062065922";
